// Breakout
// Criação:	09 Jun 2019
// Atualização:	09 Jun 2019
// Descrição:   Nível 1 (Walls)
//
// Informações dos bricks:
// value color(0-9) state(0-1) posX posY

//Amarelo  1ª linha

10 9 0 270 423
10 5 0 338 423
10 4 0 406 423
10 4 0 474 423
10 4 0 542 423
10 5 0 610 423
10 9 0 678 423

//Amarelo  2ª linha
10 7 0 237 400
10 9 0 305 400
10 5 0 373 400
10 4 0 441 400
10 4 0 509 400
10 5 0 577 400
10 9 0 645 400
10 7 0 713 400

//azul  3ª linha
10 7 0 204 377
10 7 0 272 377
10 9 0 340 377
10 5 0 408 377
10 4 0 476 377
10 5 0 544 377
10 9 0 612 377
10 7 0 680 377
10 7 0 748 377

//azul  4ª linha
10 7 0 171 354
10 6 0 239 354
10 7 0 307 354
10 9 0 375 354
10 5 0 443 354
10 5 0 511 354
10 9 0 579 354
10 7 0 647 354
10 6 0 715 354
10 7 0 783 354

//Amarelo  5ª linha
10 7 0 138 331
10 6 0 206 331
10 6 0 274 331
10 7 0 342 331
10 9 0 410 331
10 5 0 478 331
10 9 0 546 331
10 7 0 614 331
10 6 0 682 331
10 6 0 750 331
10 7 0 818 331

//Azul claro  6ª linha
10 7 0 105 308
10 6 0 173 308
10 6 0 241 308
10 6 0 309 308
10 7 0 377 308
10 9 0 445 308
10 9 0 513 308
10 7 0 581 308
10 6 0 649 308
10 6 0 717 308
10 6 0 785 308
10 7 0 853 308


//Azul claro  7ª linha
10 7 0 72 285
10 6 0 140 285
10 8 0 208 285
11 8 0 276 285
10 6 0 344 285
10 7 0 412 285
10 9 0 480 285
10 7 0 548 285
10 6 0 616 285
12 8 0 684 285
10 8 0 752 285
10 6 0 820 285
10 7 0 888 285

//Azul claro claro  8ª linha
10 7 0 105 262
10 6 0 173 262
10 6 0 241 262
10 6 0 309 262
10 7 0 377 262
10 9 0 445 262
10 9 0 513 262
10 7 0 581 262
10 6 0 649 262
10 6 0 717 262
10 6 0 785 262
10 7 0 853 262


//Amarelo claro  9ª linha

10 7 0 138 239
10 6 0 206 239
10 6 0 274 239
10 7 0 342 239
10 9 0 410 239
10 5 0 478 239
10 9 0 546 239
10 7 0 614 239
10 6 0 682 239
10 6 0 750 239
10 7 0 818 239

//Amarelo claro  10ª linha
10 7 0 171 216
10 6 0 239 216
10 7 0 307 216
10 9 0 375 216
10 5 0 443 216
10 5 0 511 216
10 9 0 579 216
10 7 0 647 216
10 6 0 715 216
10 7 0 783 216

//Amarelo claro  11ª linha
10 7 0 204 193
10 7 0 272 193
10 9 0 340 193
10 5 0 408 193
10 4 0 476 193
10 5 0 544 193
10 9 0 612 193
10 7 0 680 193
10 7 0 748 193

//Amarelo claro  12ª linha
10 7 0 237 170
10 9 0 305 170
10 5 0 373 170
10 4 0 441 170
10 4 0 509 170
10 5 0 577 170
10 9 0 645 170
10 7 0 713 170

//Amarelo claro  13ª linha
10 9 0 270 147
10 5 0 338 147
10 4 0 406 147
10 4 0 474 147
10 4 0 542 147
10 5 0 610 147
10 9 0 678 147

//+ esquerdo cima
//10 7 0 105 147
//10 7 0 72 170
//10 7 0 140 170
//10 7 0 105 193


//+direito cima
//10 7 0 853 147
//10 7 0 820 170
//10 7 0 888 170
//10 7 0 853 193


//+esquerdo baixo
//10 7 0 105 377
//10 7 0 72 400
//10 7 0 140 400
//10 7 0 105 423

//+direito baixo
//10 7 0 853 377
//10 7 0 820 400
//10 7 0 888 400
//10 7 0 853 423






